Movement,Nose.x,Nose.y,Neck.x,Neck.y,RShoulder.x,RShoulder.y,RElbow.x,RElbow.y,RWrist.x,RWrist.y,LShoulder.x,LShoulder.y,LElbow.x,LElbow.y,LWrist.x,LWrist.y,MidHip.x,MidHip.y,RHip.x,RHip.y,RKnee.x,RKnee.y,RAnkle.x,RAnkle.y,LHip.x,LHip.y,LKnee.x,LKnee.y,LAnkle.x,LAnkle.y,REye.x,REye.y,LEye.x,LEye.y,REar.x,REar.y,LEar.x,LEar.y,LBigToe.x,LBigToe.y,LSmallToe.x,LSmallToe.y,LHeel.x,LHeel.y,RBigToe.x,RBigToe.y,RSmallToe.x,RSmallToe.y,RHeel.x,RHeel.y
10,585.579,131.96426,598.9986,200.18404,553.8537,200.18623,531.1478,290.8319,526.5441,358.88895,640.13873,200.17787,667.131,290.72247,653.6481,363.28552,594.8165,376.72507,563.0291,376.7747,567.49396,485.8824,581.024,599.0477,630.70746,376.7094,630.82355,485.84552,630.8125,594.8527,571.9186,123.14623,594.76624,123.14632,562.9887,136.5879,626.3138,127.65772,608.269,621.91,630.8893,621.9304,630.80927,603.6385,567.5782,621.8123,562.8028,612.80743,594.4178,603.76764
10,585.58417,131.9609,598.99896,200.18733,553.86096,200.18655,531.1569,290.83078,526.55225,363.25952,640.1338,200.18143,667.1369,290.71332,653.66376,363.2568,594.8051,376.70456,563.02264,376.7548,567.4906,485.85687,581.0229,599.0395,630.6935,372.48767,630.8199,485.82382,630.8096,594.85345,571.92096,123.14431,594.7692,123.1434,562.9915,136.58546,626.31573,127.65417,608.23706,621.90656,630.87286,621.93005,630.8186,603.6383,567.56366,621.80176,562.7935,612.7966,594.41815,603.75653
9,585.5815,131.96297,598.9955,200.19351,553.84656,200.18118,531.15283,290.82556,526.54913,363.26868,640.1376,200.20331,667.1451,290.72653,653.65594,363.25015,594.79926,376.70346,563.01935,376.75113,567.48676,485.85565,581.0145,599.0431,630.6845,372.48785,630.81586,485.81943,630.80115,594.8548,571.92444,123.143326,594.76733,123.14623,562.9956,136.58693,626.3169,127.65547,608.24725,621.9118,630.8795,621.93054,630.803,603.63904,567.567,621.80817,562.79285,612.80676,594.40936,603.7617
8,585.6058,131.96469,598.9937,200.19592,553.84644,200.18654,531.1543,290.8237,526.5527,358.8935,640.1427,200.2042,667.15027,290.70847,653.6749,358.85324,594.7852,372.49454,563.0076,376.74908,567.4849,485.85727,581.00616,599.049,630.67017,372.48022,630.82153,485.8133,630.7966,598.98627,571.94434,123.146355,594.7828,123.14825,562.9992,136.55707,626.3162,127.65005,608.21857,621.91864,630.846,626.20807,630.8097,603.64844,567.543,621.81244,562.7775,612.80896,594.4076,603.76654
8,585.6001,131.96574,598.98914,200.19801,553.83734,200.1838,531.1442,290.8079,526.5423,358.89697,640.13873,200.21083,667.1553,290.6948,658.0143,358.83212,594.77167,376.70108,562.9906,376.75394,567.48773,485.85907,581.0068,599.0459,630.66095,372.4812,630.8214,485.81458,630.7933,598.98285,571.9427,123.144035,594.77954,123.14749,562.9917,136.57753,626.3236,127.64804,608.2293,621.9191,630.86804,621.94116,630.7999,603.64374,567.54816,621.8119,562.7781,612.8094,594.4043,603.7634
7,585.6157,131.96225,598.98627,200.19635,553.8394,200.18922,531.1575,290.84592,526.5448,363.30518,640.1328,200.20282,667.15845,286.30847,658.0136,358.81085,594.7651,372.48322,562.9912,376.74155,567.4907,485.8525,581.0088,599.04913,626.4842,372.46744,630.8187,485.80396,630.7859,598.9824,571.9527,123.14876,594.7856,123.14445,562.9952,136.55281,626.315,127.641235,608.19293,621.9243,630.82825,626.21387,630.8023,603.63916,567.5277,621.81976,562.76733,612.8123,594.407,603.7662
7,585.61255,131.96396,598.98645,200.20131,553.8421,200.18987,531.1506,290.83502,526.54846,363.26987,640.13763,200.21895,667.1468,290.69006,653.6845,358.85208,594.7646,372.48114,562.9924,376.7356,567.48914,485.8454,581.0044,599.0519,626.4816,372.46655,630.8189,485.80234,630.78577,598.984,571.95,123.14865,594.7834,123.14373,562.9944,136.56827,626.3224,127.63903,608.181,621.9243,630.82086,626.2151,630.80707,603.6416,567.52106,621.8224,562.7631,612.8152,594.40643,603.7693
6,585.5996,131.96652,598.9905,200.1942,553.8544,200.1885,531.1854,290.83746,526.57654,358.87698,640.1335,200.21327,667.15015,290.68613,658.0171,358.84512,594.7874,372.46954,563.0209,376.7211,567.49805,485.83005,581.008,599.0431,630.66486,372.4521,630.8222,485.78775,630.7828,598.98114,571.9394,123.151344,594.77344,123.14534,562.98895,136.59882,626.3183,127.63959,603.8534,621.91095,630.79736,626.21576,630.817,603.642,567.49603,621.8107,562.74963,612.79755,594.4127,603.76
6,585.6282,131.95885,598.99347,200.19728,553.8577,200.19516,531.1857,290.8198,526.5833,358.83987,640.1368,200.21313,667.15295,290.6782,658.0191,358.83054,594.78925,372.4658,563.02234,376.7179,567.498,485.83035,581.00635,599.05676,630.66693,372.4465,630.82214,485.78894,630.77704,598.9981,571.96234,123.15222,594.7903,123.14027,563.00183,136.56842,626.32385,127.6369,608.182,621.9334,630.812,626.22845,630.7917,603.6582,567.51434,621.8224,562.76154,612.81647,594.4067,603.7827
5,585.61945,131.96304,598.9989,200.19505,553.8669,200.20099,531.189,290.81912,526.576,358.84827,640.13837,200.20265,667.1578,286.2996,658.02325,358.79626,594.7888,372.46204,563.02313,376.7148,567.4981,485.83246,581.00476,599.0552,630.6645,372.44296,630.8146,485.7928,630.77344,598.9963,571.9568,123.15641,594.7819,123.14507,562.9985,136.59148,626.31616,127.64385,608.19116,621.9338,630.8175,626.22614,630.7848,603.6563,567.5125,621.8215,562.75903,612.81415,594.40247,603.7802
5,585.6214,131.96693,599.0015,200.1977,553.8667,200.20181,531.20337,290.8392,526.5818,358.85367,640.1485,200.20424,667.1585,286.28934,658.01843,358.78702,594.7807,372.4786,563.0146,376.7264,567.47925,485.83133,580.97705,599.0449,630.6567,372.4618,630.79346,485.80942,630.75476,598.99927,571.96313,123.157974,594.78265,123.14555,562.9924,136.59645,626.3298,127.63749,603.8158,621.91534,630.75604,626.2228,630.7874,603.659,567.46216,621.80817,562.722,612.79443,594.39136,603.7641
4,585.6296,131.97633,598.9999,200.18564,553.8635,200.19955,531.2152,290.81573,526.5978,358.84705,640.1333,200.17874,667.1694,286.25458,653.68634,358.7796,594.78735,372.49158,563.02155,376.73984,567.48175,485.8474,580.98627,599.0582,630.6628,372.47037,630.79614,485.81567,630.7655,599.0035,571.9697,123.169975,594.7839,123.15007,562.9843,136.59874,626.3341,127.6329,603.84186,621.92645,630.77655,626.2323,630.7937,603.6658,567.4809,621.8275,562.7382,612.81665,594.39777,603.78076
